Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,JP,US,,1,,live,,B,C
2016,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,KR,CN,,,1,specimens,,E,C
2016,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,TN,XX,1,,specimens,,E,O
2016,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,XX,TN,XX,,1,specimens,,E,O
2016,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,TN,XX,3,,teeth,,E,O
2016,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,XX,TN,XX,,3,specimens,,E,O
2016,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,XX,TN,DK,,1,specimens,,E,O
2016,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,XX,TN,FR,,1,skin pieces,,E,O
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AR,US,,1,1,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,,1,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,FR,US,,,1,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,HU,US,,3,,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,IT,US,,,2,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,1,2,trophies,,H,F
2016,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,RU,ZA,,,1,trophies,,H,F
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AE,SK,,,2,bodies,,H,C
2016,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,1,1,trophies,,H,F
2016,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,IT,US,,,1,trophies,,H,F
2016,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,MX,US,,1,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AE,US,,,34,live,,B,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,2,3,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AU,ZA,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,2,2,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BG,ZA,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,MX,,,1,trophies,,H,C
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skins,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,2,,skin pieces,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skulls,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,2,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,skins,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,skin pieces,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,,3,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,2,2,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,3,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,1,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,1,skulls,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,5,4,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,2,2,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,US,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,4,skulls,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,5,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,3,5,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,US,,,1,trophies,,H,F
2016,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,1,2,trophies,,H,F
