Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CZ,KZ,,2,,live,,B,C
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,KZ,,2,,live,,B,C
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,EE,,,1,live,,E,F
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,NO,,1,,live,,B,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NZ,AU,,,1,live,,B,C
2012,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,MY,DK,AR,,2,live,,B,C
2012,I,Anas oustaleti,Aves,Anseriformes,Anatidae,Anas,AO,NA,,,4,live,,B,C
2012,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,KR,NL,,50,,live,,G,A
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AR,US,,1,,trophies,,H,C
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,bodies,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,horns,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,skins,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,,3,trophies,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,FR,ZA,,,1,trophies,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,3,,trophies,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,SA,US,,1,,trophies,,H,C
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,US,,1,,bodies,,H,F
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CA,US,,,1,trophies,,H,F
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,2,,trophies,,H,F
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,MX,US,1,,trophies,,H,F
2012,I,Capricornis sumatraensis,Mammalia,Artiodactyla,Bovidae,Capricornis,US,LA,,1,,horns,,M,I
2012,I,Hippotragus niger,Mammalia,Artiodactyla,Bovidae,Hippotragus,BW,ZA,,1,,live,,B,C
2012,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,CA,US,,1,,bodies,,H,F
2012,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,CA,US,,,1,trophies,,H,F
2012,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,IQ,AE,,,2,live,,B,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,2,1,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,1,5,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,4,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,horns,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skins,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,2,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CL,ZA,,1,,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,2,4,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,2,8,trophies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,MX,,1,,bodies,,H,F
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,MX,,,1,trophies,,H,F
