Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2019,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IS,DK,XX,,30,specimens,,S,W
2019,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,FR,CH,XX,,2,feathers,Number of specimens,Q,U
2019,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,CH,SI,US,,11,leather products (small),,T,W
2019,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,FR,CR,,,291,specimens,Number of specimens,S,W
2019,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,PA,,,2,specimens,,S,W
2019,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,FR,CR,,,61,specimens,Number of specimens,S,W
2019,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,US,PA,,,5,specimens,,S,W
2019,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,US,PE,,,180,specimens,Number of specimens,S,W
2019,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,1,baleen,kg,P,W
2019,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,2,baleen,,P,W
2019,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,AU,GB,,6,bone pieces,Number of specimens,Q,U
2019,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,1,,bone carvings,Number of specimens,P,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,0.96,0.964,baleen,kg,S,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,,0.047,bones,kg,S,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,,0.026,skins,kg,S,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,0.67,0.587,specimens,kg,S,W
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,HS,,40,,skin pieces,g,S,X
2019,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CL,,3,,specimens,Number of specimens,S,W
2019,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,30,specimens,Number of specimens,S,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,864,meat,kg,T,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,3000,meat,kg,T,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,278.13,,bones,g,S,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,BR,,130.33,,specimens,g,S,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,,200182,meat,kg,T,W
2019,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,SN,,,1,skulls,,S,W
