Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2022,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,DE,,2,2,live,Number of specimens,B,C
2022,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,TR,,2,,live,Number of specimens,B,C
2022,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,FR,21,,skins,Number of specimens,E,I
2022,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,XX,1,,meat,Number of specimens,B,I
2022,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,FR,20,,skins,Number of specimens,E,I
2022,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,CA,FR,31,,skins,Number of specimens,E,I
2022,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,DE,CH,,1,,specimens,Number of specimens,M,C
2022,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AE,MA,,,68,live,,B,C
2022,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,IT,RU,,2,,trophies,Number of specimens,H,C
2022,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,IT,RU,,,2,trophies,,H,C
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,1,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,ZA,,,3,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,1,,trophies,,H,C
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,1,1,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,1,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BE,ZA,,,1,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,BG,ZA,,,3,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,2,,skin pieces,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,,1,trophies,Number of specimens,H,C
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,2,,skin pieces,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,ZA,,1,,skulls,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,1,1,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,8,8,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,EE,ZA,,2,,trophies,Number of specimens,H,C
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,6,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,9,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FI,ZA,,1,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,4,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,1,,trophies,,H,C
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,6,5,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,US,,1,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,1,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,,3,trophies,,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,1,,trophies,Number of specimens,H,F
2022,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PE,ZA,,,2,trophies,,H,F
