Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,LV,AZ,,,2,live,,Z,W
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,NO,,69,69,specimens,,S,W
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,6,20,live,,N,W
2012,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,5,,feathers,,S,W
2012,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,61,,specimens,,S,W
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,AU,US,XX,,2,hair,,S,W
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,SG,ZA,XX,,2,live,,Z,W
2012,I,Branta canadensis leucopareia,Aves,Anseriformes,Anatidae,Branta,CA,US,,,1,skeletons,,S,W
2012,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,111,specimens,ml,S,W
2012,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,51,specimens,,S,W
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,192,specimens,ml,S,W
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,133,specimens,,S,W
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,DE,MX,,,765,specimens,,S,W
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,145,specimens,ml,S,W
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,72,specimens,,S,W
2012,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,US,PE,,,0.8,specimens,ml,S,W
2012,I,Atrichornis clamosus,Aves,Passeriformes,Atrichornithidae,Atrichornis,NZ,AU,,50,,specimens,ml,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,6,specimens,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,1,1,bones,,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,XX,,2,baleen,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,baleen,kg,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,9,11,baleen,,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,baleen,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,10,8,carvings,,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,13,specimens,,S,W
