Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2021,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ES,MX,,1,1,trophies,Number of specimens,H,F
2021,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,CN,US,,1,,bodies,Number of specimens,H,F
2021,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,1,1,trophies,Number of specimens,H,F
2021,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,MX,US,,1,1,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AR,MX,,,1,trophies,Number of specimens,H,C
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,2,4,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AU,ZA,,,2,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skin pieces,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CH,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CH,ZA,,,1,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,7,5,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,MX,,1,1,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,1,,skins,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,11,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,11,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,FR,ZA,,,1,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HR,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HR,ZA,,,1,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,1,,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,,1,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,,2,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NZ,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,1,,trophies,Number of specimens,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PL,ZA,,,2,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RO,ZA,,2,,trophies,Number of specimens,H,C
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,4,6,trophies,,H,F
2021,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,1,,trophies,,H,F
2021,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,BE,AE,,1,,trophies,Number of specimens,H,C
2021,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DK,AE,,1,,trophies,,H,C
2021,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,1,,trophies,,H,F
2021,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,AE,,,1,skulls,Number of specimens,H,C
2021,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,AE,,,1,trophies,Number of specimens,H,C
2021,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ZA,AE,,1,,trophies,,H,C
2021,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,AE,ZA,,,1,live,,B,C
2021,I,Cacatua hybrid,Aves,Psittaciformes,Cacatuidae,Cacatua,KW,ZA,,,2,live,,B,C
2021,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,AE,ZA,,,6,live,,B,C
2021,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,KW,ZA,,2,8,live,,B,C
2021,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,LB,ZA,,,3,live,,B,C
