Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,CA,PE,,,1,specimens,,S,W
2014,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CA,US,,18,,specimens,g,S,W
2014,I,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,IT,SG,US,1,,leather products (small),,T,W
2014,I,Pachypodium baronii,,Gentianales,Apocynaceae,Pachypodium,NZ,CH,,1,,seeds,,T,
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,DE,CR,,300,300,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,10,specimens,cm3,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,410,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,teeth,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,35,hair,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,6,,specimens,g,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,6,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,PA,,52,,specimens,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,10,specimens,cm3,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,410,specimens,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,teeth,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,246,specimens,,S,W
2014,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,DE,CR,,,200,specimens,,S,W
2014,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,US,CR,,,11,specimens,,S,W
2014,I,Ateles geoffroyi frontatus,Mammalia,Primates,Atelidae,Ateles,US,CR,,11,,specimens,g,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,50,,skin pieces,,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,0.5,specimens,kg,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,52,,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,11,baleen,,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,39,,carvings,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,76,carvings,,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,27,,meat,kg,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,27,meat,kg,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,3,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,1,carvings,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,derivatives,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,US,,,1,specimens,,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SE,GL,,,2,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SE,GL,,2,,derivatives,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SZ,GL,,2,,derivatives,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,,27,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,,36,carvings,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,41,,carvings,,Q,W
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,JP,,120,,specimens,,S,W
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,AU,,1,specimens,,S,W
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,MG,,5,3,specimens,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,2,bone pieces,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,18,skin pieces,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,,,1,specimens,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,3,,specimens,,S,W
2014,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,,,1,specimens,,S,W
2014,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,1,,specimens,,S,W
2014,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IT,IS,,,1.85,bones,kg,P,W
2014,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IT,IS,,1,,bones,,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,3,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CL,XX,US,120,,bone pieces,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,,27,specimens,g,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,38,38,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,,baleen,,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,2,,carvings,,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1010,,meat,kg,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,10,,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FO,NO,,,1000,meat,kg,T,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IS,NO,,,10000,meat,kg,T,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,IS,909,,meat,kg,T,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,36459,96371,meat,kg,T,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,GL,,,3,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,6,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,AQ,,2,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,15,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,GL,XX,1,,carvings,,P,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,10,,specimens,,S,W
2014,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,90,,bodies,,S,X
2014,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,1,specimens,,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,US,,,1,specimens,,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,25,,bodies,,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,470,,skin pieces,g,S,W
2014,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,MG,,41,28,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,XX,,64,,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,CL,,61,,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,FR,,,1,specimens,,S,W
2014,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,US,,,1,specimens,,S,W
