Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2015,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CZ,IL,,2,2,live,,Z,W
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,DK,NO,,1,1,bodies,,P,W
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,SE,,1,,bodies,,S,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BE,SR,,,3,live,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,FR,,,12,feathers,,S,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GH,SR,,,46,feathers,,Q,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,NL,SR,,,26,feathers,,P,W
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,SE,SR,,,4,feathers,,P,W
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,KZ,UZ,RU,,2,live,,Q,U
2015,I,Caiman crocodilus,Reptilia,Crocodylia,Alligatoridae,Caiman,UZ,RU,,2,,live,,Q,U
2015,I,Melanosuchus niger,Reptilia,Crocodylia,Alligatoridae,Melanosuchus,US,GY,,,74,specimens,,T,W
2015,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,ZA,AU,,2,,skulls,,S,U
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,CR,,1,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,GT,,5,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,HN,,1,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,MX,,5,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,NI,,2,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,GB,US,PA,,3,hair,,S,W
2015,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,NI,,,54,specimens,,S,W
2015,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,246,specimens,,S,W
2015,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,CR,SV,,,34,specimens,,S,W
2015,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,IT,CR,,,400,specimens,,S,W
2015,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AT,CH,XX,,1,carvings,,S,W
