Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2020,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,CH,FR,XX,6,,feathers,Number of specimens,E,O
2020,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,DE,BR,,2,,live,,B,F
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,IN,,2,,live,,B,C
2020,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,ZA,DK,,3,,specimens,,L,I
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AE,MA,,34,,live,Number of specimens,B,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CN,US,,,1,trophies,Number of specimens,H,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ES,US,,,1,trophies,Number of specimens,H,F
2020,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ES,US,,1,,trophies,,H,C
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AR,US,,1,,trophies,Number of specimens,H,F
2020,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,US,,3,,trophies,Number of specimens,H,F
2020,I,Capra falconeri heptneri,Mammalia,Artiodactyla,Bovidae,Capra,TR,SK,,2,2,bodies,,H,C
2020,I,Nanger dama,Mammalia,Artiodactyla,Bovidae,Nanger,MX,US,,1,,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,AT,ZA,,5,,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CA,US,,1,,skin pieces,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CH,GB,,2,2,live,Number of specimens,B,C
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,US,,,1,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CN,ZA,,1,,trophies,Number of specimens,H,C
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,4,2,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DE,ZA,,4,2,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,DK,ZA,,7,5,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,US,,,1,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,US,,1,,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,,1,trophies,,H,C
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,4,9,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,GB,ZA,,1,,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HR,ZA,,,2,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,HU,ZA,,5,4,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,IT,ZA,,1,1,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,LV,ZA,,1,1,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,1,,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,MX,ZA,,,1,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NA,US,,,1,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,1,,trophies,Number of specimens,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,ZA,,,1,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,QA,ZA,,,1,trophies,,H,C
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,AE,,1,,trophies,,H,C
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,2,4,trophies,,H,F
2020,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SE,ZA,,4,,trophies,,H,F
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,BE,AE,,,1,trophies,Number of specimens,H,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,BH,AE,,,1,trophies,Number of specimens,H,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CN,US,,,1,trophies,Number of specimens,H,F
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CZ,ZA,,2,,trophies,,H,F
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,DK,AE,,,1,trophies,Number of specimens,H,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,ES,ZA,,1,,trophies,,H,F
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,FR,AE,,,1,trophies,Number of specimens,H,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,RU,AE,,,1,trophies,Number of specimens,H,C
2020,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,RU,ZA,,,1,trophies,,H,F
2020,I,Cacatua goffiniana,Aves,Psittaciformes,Cacatuidae,Cacatua,KW,LB,ZA,,1,live,,B,C
