Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2021,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,ES,NO,,10,10,live,Number of specimens,N,W
2021,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,,24,live,Number of specimens,N,W
2021,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,IE,NO,,24,,live,,N,W
2021,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,SI,CH,US,31,,leather products (small),Number of specimens,T,W
2021,I,Alouatta hybrid,Mammalia,Primates,Atelidae,Alouatta,US,MX,XX,,499,specimens,Number of specimens,S,W
2021,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,499,specimens,Number of specimens,S,W
2021,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,499,specimens,Number of specimens,S,W
2021,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,GB,PE,,,6,specimens,Number of specimens,S,W
2021,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,4,baleen,Number of specimens,P,W
2021,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,3,,baleen,,P,W
2021,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,RU,,,10,specimens,Number of specimens,S,W
2021,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NO,GL,,,1,specimens,kg,S,W
2021,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,28,,specimens,Number of specimens,S,W
2021,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,BE,ZA,,,1,bones,,P,W
2021,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,DK,ZA,,,2,specimens,,S,W
2021,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,FK,,102,,specimens,Number of specimens,S,W
2021,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,NZ,,163,,skin pieces,Number of specimens,S,W
2021,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,GB,FR,GB,1,,skeletons,Number of specimens,P,W
2021,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,NO,,214760,193252,meat,kg,T,W
2021,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,SJ,NO,,,6006,meat,kg,T,W
2021,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,70,,skin pieces,g,S,X
2021,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,AQ,,5,,specimens,g,S,W
2021,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,160,,skin pieces,g,S,X
2021,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,ZA,,,1,specimens,,S,W
2021,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,LK,,,1,specimens,Number of specimens,S,W
2021,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,15,,skin pieces,g,S,X
2021,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,498,,specimens,Number of specimens,S,W
2021,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,LK,,,1,specimens,Number of specimens,S,W
2021,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,60,,skin pieces,g,S,X
2021,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,,2,,specimens,Number of specimens,S,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,190,specimens,kg,S,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,2,,specimens,ml,S,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,,1,bones,Number of specimens,P,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,HS,,145,,skin pieces,g,S,X
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,2800,meat,g,S,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,2.8,,specimens,g,S,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CL,,20,,specimens,Number of specimens,S,W
2021,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,RU,,,20,specimens,Number of specimens,S,X
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,BR,,89,,specimens,Number of specimens,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CO,,,22,oil,,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CO,,,22,skins,,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CO,,22,,specimens,Number of specimens,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,NC,,1,,specimens,Number of specimens,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,226,,specimens,g,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,CA,US,,14,,specimens,ml,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,BR,,1,,specimens,Number of specimens,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DK,GL,,,4,bones,Number of specimens,P,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ES,IS,,,120,specimens,g,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,JP,HS,,95,,skin pieces,g,S,X
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,NL,GL,,,113,skins,Number of specimens,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,353,,specimens,g,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,AQ,,7,,specimens,g,S,X
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,CA,,3,,specimens,g,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,NZ,,22,,specimens,Number of specimens,S,W
2021,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,US,PA,,385,,specimens,Number of specimens,S,W
